pair_id,smiles_A,smiles_B,source,transformation,analogs_generated,unique_analogs,B_recovered_exact,B_rank_by_tanimoto,best_tanimoto,top10_tanimoto_mean,smirks_that_recovered_B,runtime_s
CHEMBL_MMP_01636,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(C)cc2)n1,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(OC)cc2)n1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]OC,191,116,False,,0.8077,0.7661,,1.013
CHEMBL_MMP_01637,COc1c2occc2c(CO)c2ccc(=O)oc12,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,ChEMBL-37/mmpdb,[*:1]CO>>[*:1]COC,127,86,True,1,1.0,0.7666,OSUB_011,1.5686
CHEMBL_MMP_01638,COc1cc(C(C)C)c(OC)cc1CC(C)N,COc1cc(CC(C)N)c(OC)cc1I,ChEMBL-37/mmpdb,[*:1]C(C)C>>[*:1]I,206,145,False,,0.6111,0.5843,,1.0863
CHEMBL_MMP_01639,CN(C)c1ncnc2c1ncn2Cc1ccccc1N,COc1ccccc1Cn1cnc2c(N(C)C)ncnc21,ChEMBL-37/mmpdb,[*:1]N>>[*:1]OC,229,145,False,,0.7174,0.6614,,0.8009
CHEMBL_MMP_01640,CCOc1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1,ChEMBL-37/mmpdb,[*:1]OCC>>[*:1][H],130,81,False,,0.6875,0.6578,,0.9034
CHEMBL_MMP_01641,CN(C)c1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3C#N)cccc12,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,ChEMBL-37/mmpdb,[*:1]C#N>>[*:1][H],313,193,False,,0.6182,0.5671,,1.995
CHEMBL_MMP_01642,CCOc1ccc2[nH]c3c(NN)nncc3c2c1,CCOc1ccc2[nH]c3c(S)nncc3c2c1,ChEMBL-37/mmpdb,[*:1]NN>>[*:1]S,144,94,False,,0.6667,0.6223,,1.4146
CHEMBL_MMP_01643,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(OC)cc2)n1,CCOC(=O)c1cc2ccccn2c(=Nc2ccccc2)n1,ChEMBL-37/mmpdb,[*:1]OC>>[*:1][H],202,127,False,,0.8542,0.8107,,0.9391
CHEMBL_MMP_01644,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(C)cc2)n1,CCOC(=O)c1cc2ccccn2c(=Nc2ccccc2)n1,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],191,116,False,,0.8542,0.8101,,1.1327
CHEMBL_MMP_01645,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,COc1c2occc2c(COCCCO)c2ccc(=O)oc12,ChEMBL-37/mmpdb,[*:1]OC>>[*:1]OCCCO,134,90,False,,0.8696,0.6901,,1.3365
